id,element_type,web_name,team_name,opponent_team_name,was_home,now_cost,selected_by_percent,gameweek,minutes,shots,SoT,SiB,xG,npxG,G,npG,key_passes,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,total_points,PvsxP,pos_touches,Att Pen,carries_final_third,carries_penalty_area
1,3,Fábio Vieira,Arsenal,Wolverhampton Wanderers,True,5.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
2,4,G.Jesus,Arsenal,Wolverhampton Wanderers,True,6.8,0.9,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0
3,2,Gabriel,Arsenal,Wolverhampton Wanderers,True,6.0,12.5,1,90,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.1,0.1,5.748,6,0.252,75.0,1.0,0.0,0.0
4,4,Havertz,Arsenal,Wolverhampton Wanderers,True,8.1,18.0,1,90,5.0,1.0,5.0,0.4,0.4,1.0,1.0,2.0,0.1,1.0,0.5,0.0,0.537,1.0,0.5,0.5,3.9,12,8.1,40.0,9.0,3.0,2.0
5,1,Hein,Arsenal,Wolverhampton Wanderers,True,4.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
6,2,J.Timber,Arsenal,Wolverhampton Wanderers,True,5.5,1.0,1,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,1.0,1,0.0,14.0,2.0,0.0,1.0
7,3,Jorginho,Arsenal,Wolverhampton Wanderers,True,4.9,0.3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
8,2,Kiwior,Arsenal,Wolverhampton Wanderers,True,4.9,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
9,3,Martinelli,Arsenal,Wolverhampton Wanderers,True,6.9,2.2,1,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,0.0,0.5,0.0,0.537,1.0,0.4,0.4,3.737,3,-0.737,31.0,10.0,1.0,2.0
10,3,Nelson,Arsenal,Wolverhampton Wanderers,True,5.0,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
11,4,Nketiah,Arsenal,Wolverhampton Wanderers,True,5.9,0.6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
12,3,Nwaneri,Arsenal,Wolverhampton Wanderers,True,4.5,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
13,3,Ødegaard,Arsenal,Wolverhampton Wanderers,True,8.4,10.6,1,90,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.5,0.0,0.537,1.0,0.1,0.1,2.837,3,0.163,43.0,4.0,0.0,2.0
14,1,Ramsdale,Arsenal,Wolverhampton Wanderers,True,4.4,1.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
15,1,Raya,Arsenal,Wolverhampton Wanderers,True,5.5,28.4,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,8.148,8,-0.148,38.0,0.0,0.0,0.0
16,3,Rice,Arsenal,Wolverhampton Wanderers,True,6.4,3.8,1,84,1.0,0.0,1.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.537,1.0,0.1,0.1,3.037,3,-0.037,39.0,3.0,1.0,0.0
17,3,Saka,Arsenal,Wolverhampton Wanderers,True,10.1,32.3,1,79,5.0,3.0,4.0,0.4,0.4,1.0,1.0,5.0,0.4,1.0,0.5,0.0,0.537,1.0,0.8,0.8,4.737,12,7.263,38.0,12.0,1.0,4.0
18,2,Saliba,Arsenal,Wolverhampton Wanderers,True,6.0,38.2,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,4.148,6,1.852,72.0,0.0,1.0,0.0
19,3,Smith Rowe,Fulham,Manchester United,False,5.6,26.1,1,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,0.08,0.0,0.0,0.0,2.08,3,0.92,35.0,0.0,0.0,0.0
20,3,Thomas,Arsenal,Wolverhampton Wanderers,True,5.0,1.5,1,90,1.0,0.0,0.0,0.1,0.1,0.0,0.0,4.0,0.1,0.0,0.5,0.0,0.537,1.0,0.2,0.2,3.337,3,-0.337,45.0,0.0,0.0,0.0
21,2,Tierney,Arsenal,Wolverhampton Wanderers,True,4.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
22,2,Tomiyasu,Arsenal,Wolverhampton Wanderers,True,4.9,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
23,3,Trossard,Arsenal,Wolverhampton Wanderers,True,6.9,1.9,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,1.0,1,0.0,7.0,0.0,0.0,0.0
24,2,White,Arsenal,Wolverhampton Wanderers,True,6.5,9.0,1,90,2.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.1,0.1,6.748,6,-0.748,53.0,0.0,0.0,0.0
25,2,Zinchenko,Arsenal,Wolverhampton Wanderers,True,5.0,2.4,1,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.537,1.0,0.0,0.0,4.148,6,1.852,66.0,2.0,2.0,0.0
26,2,Alex Moreno,Aston Villa,West Ham,False,4.4,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
27,4,Archer,Southampton,Newcastle United,False,5.0,1.6,1,19,2.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.594,0.0,0.2,0.2,1.8,1,-0.8,7.0,3.0,0.0,0.0
28,3,Bailey,Aston Villa,West Ham,False,6.4,2.3,1,73,3.0,0.0,1.0,0.2,0.2,0.0,0.0,2.0,0.1,0.0,2.3,1.0,0.002,0.0,0.3,0.3,2.302,1,-1.302,37.0,3.0,1.0,2.0
29,3,Barkley,Aston Villa,West Ham,False,5.3,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
30,3,Barrenechea,Aston Villa,West Ham,False,4.9,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
31,3,Buendia,Aston Villa,West Ham,False,5.4,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
32,2,Cash,Aston Villa,West Ham,False,4.4,1.9,1,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,2.3,1.0,0.002,0.0,0.1,0.1,1.309,2,0.691,53.0,1.0,3.0,0.0
33,3,Dendoncker,Aston Villa,West Ham,False,4.5,0.8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
34,3,Diaby,Aston Villa,West Ham,False,6.5,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
35,2,Diego Carlos,Aston Villa,West Ham,False,4.5,0.4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
36,2,Digne,Aston Villa,West Ham,False,4.5,4.9,1,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,2.3,1.0,0.002,0.0,0.2,0.2,2.609,2,-0.609,53.0,0.0,0.0,0.0
37,3,Dobbin,Aston Villa,West Ham,False,5.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
38,4,Duran,Aston Villa,West Ham,False,6.0,1.2,1,28,2.0,1.0,2.0,0.4,0.4,1.0,1.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.4,0.4,2.6,6,3.4,21.0,3.0,0.0,0.0
39,1,Gauci,Aston Villa,West Ham,False,4.0,0.9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
40,2,Hause,Aston Villa,West Ham,False,4.0,0.7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
41,3,Iling Jr,Aston Villa,West Ham,False,5.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
42,3,Kamara,Aston Villa,West Ham,False,5.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
43,2,Kesler-Hayden,Aston Villa,West Ham,False,4.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
44,2,Konsa,Aston Villa,West Ham,False,4.5,13.2,1,90,1.0,0.0,1.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,2.3,1.0,0.002,0.0,0.1,0.1,1.609,2,0.391,57.0,1.0,0.0,0.0
45,2,Maatsen,Aston Villa,West Ham,False,4.9,2.7,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,1.0,1,0.0,14.0,0.0,1.0,0.0
